,model,environment,best_score,best_solution,n_iterations,record,seed,test
115,abcd,CartPole-v1,-5000,"[ 1.21973526 -5.18218269 -4.63099448 ... -5.34499498 -1.86915289
 -3.25614047]",37,[-1063. -2502. -2502. ...     0.     0.     0.],25,-40297
116,abcd,CartPole-v1,-5000,"[-1.30114413  3.13021356  8.5606981  ... -3.75306665  0.06385479
  1.77009017]",16,[-1299. -1299. -1299. ...     0.     0.     0.],26,-44341
117,abcd,CartPole-v1,-5000,"[-5.09852485  1.69055442  0.39782455 ...  2.53093864 -0.08084486
  3.25234535]",42,[-1044. -1660. -1660. ...     0.     0.     0.],27,-38654
118,abcd,CartPole-v1,-5000,"[-2.67221475 -2.21186723  2.31726055 ...  0.47567897  1.94085965
  3.92697994]",39,[-2198. -2211. -2211. ...     0.     0.     0.],28,-42219
119,abcd,CartPole-v1,-5000,"[-0.27599035 -0.60617853 -0.39765229 ...  2.59365648  2.65167822
  1.48390303]",34,[-1035. -1301. -1592. ...     0.     0.     0.],29,-38903
120,neuromodulated_hb,CartPole-v1,-5000,"[ 2.69592181 -3.35411994 -2.19163411 ... -1.22093791 -2.12542043
 -1.38556213]",10,[-1341. -1341. -1625. ...     0.     0.     0.],0,-40369
121,neuromodulated_hb,CartPole-v1,-5000,"[-0.54196891 -5.00372479  5.56084224 ... -1.90535593  3.22938193
 -3.01881845]",27,[-2078. -2313. -2421. ...     0.     0.     0.],1,-23530
122,neuromodulated_hb,CartPole-v1,-5000,"[-4.30215332 -3.56959906  6.47970055 ... -1.55667945 -2.36830879
  2.4308072 ]",23,[-1308. -1540. -1540. ...     0.     0.     0.],2,-39603
123,neuromodulated_hb,CartPole-v1,-5000,"[-7.91486944  3.04739503 -2.03964437 ... -0.71472328  5.01832582
  0.66190568]",19,[-2980. -2980. -4280. ...     0.     0.     0.],3,-43463
124,neuromodulated_hb,CartPole-v1,-5000,"[-0.59322369 -1.78012177  1.48518504 ... -3.71673989 -7.17371039
  3.2300363 ]",16,[ -812. -1096. -1156. ...     0.     0.     0.],4,-36120
125,neuromodulated_hb,CartPole-v1,-5000,"[-2.75590833  3.60375962  4.65911086 ...  3.18812719 -3.28832722
  3.59560315]",12,[-1144. -1187. -1291. ...     0.     0.     0.],5,-39673
126,neuromodulated_hb,CartPole-v1,-5000,"[ 5.60253332 -1.84845549  1.74199894 ... -2.99805681  2.95835771
 -3.5315149 ]",32,[-1045. -2226. -2226. ...     0.     0.     0.],6,-34705
127,neuromodulated_hb,CartPole-v1,-5000,"[-1.56959716 -1.05762123  0.20009814 ...  4.37516264 -3.25586941
  0.30704141]",12,[-1028. -2133. -2133. ...     0.     0.     0.],7,-41046
128,neuromodulated_hb,CartPole-v1,-5000,"[-2.34124568 -0.50491586 -0.28650499 ... -3.30720681  2.8417106
  1.63654915]",26,[-1273. -1273. -1273. ...     0.     0.     0.],8,-40822
129,neuromodulated_hb,CartPole-v1,-5000,"[ 0.54975216  2.27112001 -0.62678516 ...  3.87214421  2.70220429
 -0.57444086]",13,[-1073. -1583. -1583. ...     0.     0.     0.],9,-46968
130,neuromodulated_hb,CartPole-v1,-5000,"[ 2.89760212 -0.6439192  -3.77292821 ... -5.23542617  0.86202273
 -0.77679843]",11,[-1250. -2361. -2766. ...     0.     0.     0.],10,-39801
131,neuromodulated_hb,CartPole-v1,-5000,"[ 3.40262383 11.12593322 -6.93982477 ... -1.57447154  1.93223028
 -3.20810471]",18,[-1040. -1317. -1790. ...     0.     0.     0.],11,-49894
